'Date';'DAX';'S+ACY-P 500'
'2015+AC0-05+AC0-19';11853.33008;2122.72998
'2015+AC0-05+AC0-18';11594.28027;2121.100098
'2015+AC0-05+AC0-15';11447.03027;2098.47998
'2015+AC0-05+AC0-14';11559.82031;2099.120117
'2015+AC0-05+AC0-13';11351.45996;2105.330078
'2015+AC0-05+AC0-12';11472.41016;2116.100098
'2015+AC0-05+AC0-11';11673.34961;2088
'2015+AC0-05+AC0-08';11709.73047;2080.149902
'2015+AC0-05+AC0-07';11407.96973;2089.459961
'2015+AC0-05+AC0-06';11350.15039;2114.48999
'2015+AC0-05+AC0-05';11327.67969;2108.290039
'2015+AC0-05+AC0-04';11619.84961;2085.51001
'2015+AC0-04+AC0-30';11454.37988;2106.850098
'2015+AC0-04+AC0-29';11432.71973;2114.76001
'2015+AC0-04+AC0-28';11811.66016;2108.919922
'2015+AC0-04+AC0-27';12039.16016;2117.689941
'2015+AC0-04+AC0-24';11810.84961;2112.929932
'2015+AC0-04+AC0-23';11723.58008;2107.959961
'2015+AC0-04+AC0-22';11867.37012;2097.290039
'2015+AC0-04+AC0-21';11939.58008;2100.399902
'2015+AC0-04+AC0-20';11891.91016;2081.179932
'2015+AC0-04+AC0-17';11688.7002;2104.98999
'2015+AC0-04+AC0-16';11998.86035;2106.629883
'2015+AC0-04+AC0-15';12231.33984;2095.840088
'2015+AC0-04+AC0-14';12227.59961;2092.429932
'2015+AC0-04+AC0-13';12338.73047;2102.060059
'2015+AC0-04+AC0-10';12374.73047;2091.179932
'2015+AC0-04+AC0-09';12166.44043;2081.899902
'2015+AC0-04+AC0-08';12035.86035;2076.330078
'2015+AC0-04+AC0-07';12123.51953;2080.620117
'2015+AC0-04+AC0-02';11967.38965;2066.959961
'2015+AC0-04+AC0-01';12001.37988;2059.689941
'2015+AC0-03+AC0-31';11966.16992;2067.889893
'2015+AC0-03+AC0-30';12086.00977;2086.23999
'2015+AC0-03+AC0-27';11868.33008;2061.02002
'2015+AC0-03+AC0-26';11843.67969;2056.149902
'2015+AC0-03+AC0-25';11865.32031;2061.050049
'2015+AC0-03+AC0-24';12005.69043;2091.5
'2015+AC0-03+AC0-23';11895.83984;2104.419922
'2015+AC0-03+AC0-20';12039.37012;2108.100098
'2015+AC0-03+AC0-19';11899.40039;2089.27002
'2015+AC0-03+AC0-18';11922.76953;2099.5
'2015+AC0-03+AC0-17';11980.84961;2074.280029
'2015+AC0-03+AC0-16';12167.71973;2081.189941
'2015+AC0-03+AC0-13';11901.61035;2053.399902
'2015+AC0-03+AC0-12';11799.38965;2065.949951
'2015+AC0-03+AC0-11';11805.99023;2040.23999
'2015+AC0-03+AC0-10';11500.37988;2044.160034
'2015+AC0-03+AC0-09';11582.11035;2079.429932
'2015+AC0-03+AC0-06';11550.96973;2071.26001
'2015+AC0-03+AC0-05';11504.00977;2101.040039
'2015+AC0-03+AC0-04';11390.37988;2098.530029
'2015+AC0-03+AC0-03';11280.36035;2107.780029
'2015+AC0-03+AC0-02';11410.36035;2117.389893
'2015+AC0-02+AC0-27';11401.66016;2104.5
'2015+AC0-02+AC0-26';11327.19043;2110.73999
'2015+AC0-02+AC0-25';11210.26953;2113.860107
'2015+AC0-02+AC0-24';11205.74023;2115.47998
'2015+AC0-02+AC0-23';11130.91992;2109.659912
'2015+AC0-02+AC0-20';11050.63965;2110.300049
'2015+AC0-02+AC0-19';11001.94043;2097.449951
'2015+AC0-02+AC0-18';10961;2099.679932
'2015+AC0-02+AC0-17';10895.62012;2100.340088
'2015+AC0-02+AC0-16';10923.23047;2096.98999
'2015+AC0-02+AC0-13';10963.40039;2088.47998
'2015+AC0-02+AC0-12';10919.65039;2068.530029
'2015+AC0-02+AC0-11';10752.11035;2068.590088
'2015+AC0-02+AC0-10';10753.83008;2046.73999
'2015+AC0-02+AC0-09';10663.50977;2055.469971
'2015+AC0-02+AC0-06';10846.38965;2062.52002
'2015+AC0-02+AC0-05';10905.41016;2041.51001
'2015+AC0-02+AC0-04';10911.32031;2050.030029
'2015+AC0-02+AC0-03';10890.9502;2020.849976
'2015+AC0-02+AC0-02';10828.00977;1994.98999
'2015+AC0-01+AC0-30';10694.32031;2021.25
'2015+AC0-01+AC0-29';10737.87012;2002.160034
'2015+AC0-01+AC0-28';10710.96973;2029.550049
'2015+AC0-01+AC0-27';10628.58008;2057.090088
'2015+AC0-01+AC0-26';10798.33008;2051.820068
'2015+AC0-01+AC0-23';10649.58008;2063.149902
'2015+AC0-01+AC0-22';10435.62012;2032.119995
'2015+AC0-01+AC0-21';10299.23047;2022.550049
'2015+AC0-01+AC0-20';10257.12988;2019.420044
'2015+AC0-01+AC0-19';10242.34961;1992.670044
'2015+AC0-01+AC0-16';10167.76953;2011.27002
'2015+AC0-01+AC0-15';10032.61035;2023.030029
'2015+AC0-01+AC0-14';9817.080078;2028.26001
'2015+AC0-01+AC0-13';9941;2044.810059
'2015+AC0-01+AC0-12';9781.900391;2062.139893
'2015+AC0-01+AC0-09';9648.5;2025.900024
'2015+AC0-01+AC0-08';9837.610352;2002.609985
'2015+AC0-01+AC0-07';9518.179688;2020.579956
'2015+AC0-01+AC0-06';9469.660156;2058.199951
'2015+AC0-01+AC0-05';9473.160156;2058.899902
'2015+AC0-01+AC0-02';9764.730469;2080.350098
'2014+AC0-12+AC0-30';9805.549805;2090.570068
'2014+AC0-12+AC0-29';9927.129883;2088.77002
'2014+AC0-12+AC0-23';9922.110352;2081.879883
'2014+AC0-12+AC0-22';9865.759766;2082.169922
'2014+AC0-12+AC0-19';9786.959961;2078.540039
'2014+AC0-12+AC0-18';9811.05957;2070.649902
'2014+AC0-12+AC0-17';9544.429688;2061.22998
'2014+AC0-12+AC0-16';9563.889648;2012.890015
'2014+AC0-12+AC0-15';9334.009766;1972.73999
'2014+AC0-12+AC0-12';9594.730469;1989.630005
'2014+AC0-12+AC0-11';9862.530273;2002.329956
'2014+AC0-12+AC0-10';9799.730469;2035.329956
'2014+AC0-12+AC0-09';9793.709961;2026.140015
'2014+AC0-12+AC0-08';10014.99023;2059.820068
'2014+AC0-12+AC0-05';10087.12012;2060.310059
'2014+AC0-12+AC0-04';9851.349609;2075.370117
'2014+AC0-12+AC0-03';9971.790039;2071.919922
'2014+AC0-12+AC0-02';9934.080078;2074.330078
'2014+AC0-12+AC0-01';9963.509766;2066.550049
'2014+AC0-11+AC0-28';9980.849609;2053.439941
'2014+AC0-11+AC0-27';9974.870117;2067.560059
'2014+AC0-11+AC0-26';9915.55957;2072.830078
'2014+AC0-11+AC0-25';9861.209961;2067.030029
'2014+AC0-11+AC0-24';9785.540039;2069.409912
'2014+AC0-11+AC0-21';9732.549805;2063.5
'2014+AC0-11+AC0-20';9483.969727;2052.75
'2014+AC0-11+AC0-19';9472.799805;2048.719971
'2014+AC0-11+AC0-18';9456.530273;2051.800049
'2014+AC0-11+AC0-17';9306.349609;2041.319946
'2014+AC0-11+AC0-14';9252.94043;2039.819946
'2014+AC0-11+AC0-13';9248.509766;2039.329956
'2014+AC0-11+AC0-12';9210.959961;2038.25
'2014+AC0-11+AC0-11';9369.030273;2039.680054
'2014+AC0-11+AC0-10';9351.870117;2038.26001
'2014+AC0-11+AC0-07';9291.830078;2031.920044
'2014+AC0-11+AC0-06';9377.410156;2031.209961
'2014+AC0-11+AC0-05';9315.480469;2023.569946
'2014+AC0-11+AC0-04';9166.469727;2012.099976
'2014+AC0-11+AC0-03';9251.700195;2017.810059
'2014+AC0-10+AC0-31';9326.870117;2018.050049
'2014+AC0-10+AC0-30';9114.839844;1994.650024
'2014+AC0-10+AC0-29';9082.80957;1982.300049
'2014+AC0-10+AC0-28';9068.19043;1985.050049
'2014+AC0-10+AC0-27';8902.610352;1961.630005
'2014+AC0-10+AC0-24';8987.799805;1964.579956
'2014+AC0-10+AC0-23';9047.30957;1950.819946
'2014+AC0-10+AC0-22';8940.139648;1927.109985
'2014+AC0-10+AC0-21';8886.959961;1941.280029
'2014+AC0-10+AC0-20';8717.759766;1904.01001
'2014+AC0-10+AC0-17';8850.269531;1886.76001
'2014+AC0-10+AC0-16';8582.900391;1862.76001
'2014+AC0-10+AC0-15';8571.950195;1862.48999
'2014+AC0-10+AC0-14';8825.209961;1877.699951
'2014+AC0-10+AC0-13';8812.429688;1874.73999
'2014+AC0-10+AC0-10';8788.80957;1906.130005
'2014+AC0-10+AC0-09';9005.019531;1928.209961
'2014+AC0-10+AC0-08';8995.330078;1968.890015
'2014+AC0-10+AC0-07';9086.209961;1935.099976
'2014+AC0-10+AC0-06';9209.509766;1964.819946
'2014+AC0-10+AC0-02';9195.679688;1967.900024
'2014+AC0-10+AC0-01';9382.030273;1946.170044
'2014+AC0-09+AC0-30';9474.299805;1946.160034
'2014+AC0-09+AC0-29';9422.910156;1972.290039
'2014+AC0-09+AC0-26';9490.549805;1977.800049
'2014+AC0-09+AC0-25';9510.009766;1982.849976
'2014+AC0-09+AC0-24';9661.969727;1965.98999
'2014+AC0-09+AC0-23';9595.030273;1998.300049
'2014+AC0-09+AC0-22';9749.540039;1982.77002
'2014+AC0-09+AC0-19';9799.259766;1994.290039
'2014+AC0-09+AC0-18';9798.129883;2010.400024
'2014+AC0-09+AC0-17';9661.5;2011.359985
'2014+AC0-09+AC0-16';9632.929688;2001.569946
'2014+AC0-09+AC0-15';9659.629883;1998.97998
'2014+AC0-09+AC0-12';9651.129883;1984.130005
'2014+AC0-09+AC0-11';9691.280273;1985.540039
'2014+AC0-09+AC0-10';9700.169922;1997.449951
'2014+AC0-09+AC0-09';9710.700195;1995.689941
'2014+AC0-09+AC0-08';9758.030273;1988.439941
'2014+AC0-09+AC0-05';9747.019531;2001.540039
'2014+AC0-09+AC0-04';9724.259766;2007.709961
'2014+AC0-09+AC0-03';9626.490234;1997.650024
'2014+AC0-09+AC0-02';9507.019531;2000.719971
'2014+AC0-09+AC0-01';9479.030273;2002.280029
'2014+AC0-08+AC0-29';9470.169922;2003.369995
'2014+AC0-08+AC0-28';9462.55957;1996.73999
'2014+AC0-08+AC0-27';9569.709961;2000.119995
'2014+AC0-08+AC0-26';9588.150391;2000.02002
'2014+AC0-08+AC0-25';9510.139648;1997.920044
'2014+AC0-08+AC0-22';9339.169922;1988.400024
'2014+AC0-08+AC0-21';9401.530273;1992.369995
'2014+AC0-08+AC0-20';9314.570312;1986.51001
'2014+AC0-08+AC0-19';9334.280273;1981.599976
'2014+AC0-08+AC0-18';9245.330078;1971.73999
'2014+AC0-08+AC0-15';9092.599609;1955.060059
'2014+AC0-08+AC0-14';9225.099609;1955.180054
'2014+AC0-08+AC0-13';9198.879883;1946.719971
'2014+AC0-08+AC0-12';9069.469727;1933.75
'2014+AC0-08+AC0-11';9180.740234;1936.920044
'2014+AC0-08+AC0-08';9009.320312;1931.589966
'2014+AC0-08+AC0-07';9038.969727;1909.569946
'2014+AC0-08+AC0-06';9130.040039;1920.23999
'2014+AC0-08+AC0-05';9189.740234;1920.209961
'2014+AC0-08+AC0-04';9154.139648;1938.98999
'2014+AC0-08+AC0-01';9210.080078;1925.150024
'2014+AC0-07+AC0-31';9407.480469;1930.670044
'2014+AC0-07+AC0-30';9593.679688;1970.069946
'2014+AC0-07+AC0-29';9653.629883;1969.949951
'2014+AC0-07+AC0-28';9598.169922;1978.910034
'2014+AC0-07+AC0-25';9644.009766;1978.339966
