"","date","logGDP"
"147",2000-10-01,0.00566300402171827
"148",2001-01-01,-0.00284331184422371
"149",2001-04-01,0.00528525779096256
"150",2001-07-01,-0.00316780142291861
"151",2001-10-01,0.00277434228250861
"152",2002-01-01,0.00916661333303281
"153",2002-04-01,0.00549868585143187
"154",2002-07-01,0.00485903589800429
"155",2002-10-01,0.000632720952596699
"156",2003-01-01,0.00517019678195751
"157",2003-04-01,0.00923495962998544
"158",2003-07-01,0.0166114396707862
"159",2003-10-01,0.0116204734254115
"160",2004-01-01,0.00573426495352969
"161",2004-04-01,0.00730066546561936
"162",2004-07-01,0.00904970406102201
"163",2004-10-01,0.00861019242380046
"164",2005-01-01,0.0106027838682667
"165",2005-04-01,0.00520661339337281
"166",2005-07-01,0.00836836726748658
"167",2005-10-01,0.00569332992025906
"168",2006-01-01,0.0119436403101165
"169",2006-04-01,0.00298602966956985
"170",2006-07-01,0.000890648930836235
"171",2006-10-01,0.00779689824448582
"172",2007-01-01,0.000618145650717494
"173",2007-04-01,0.00762399387734369
"174",2007-07-01,0.00670314023379781
"175",2007-10-01,0.00356161190117632
"176",2008-01-01,-0.00684711841034513
"177",2008-04-01,0.00495095290257197
"178",2008-07-01,-0.004809923860428
"179",2008-10-01,-0.0213523514987664
"180",2009-01-01,-0.0139543574084602
"181",2009-04-01,-0.00135047670069355
"182",2009-07-01,0.0032616926416793
"183",2009-10-01,0.00963233494661964
"184",2010-01-01,0.00431610423449058
"185",2010-04-01,0.00961483623888526
"186",2010-07-01,0.00673171097832181
"187",2010-10-01,0.00627845403746186
"188",2011-01-01,-0.0038698518799869
"189",2011-04-01,0.00725123612197365
"190",2011-07-01,0.00209925203797212
"191",2011-10-01,0.011201186907936
"192",2012-01-01,0.0066073537779392
"193",2012-04-01,0.00465854548775191
"194",2012-07-01,0.00119701281564843
"195",2012-10-01,0.000227530546958121
"196",2013-01-01,0.00696979781081275
"197",2013-04-01,0.00191529553769776
"198",2013-07-01,0.00768224964259367
"199",2013-10-01,0.00970893766957026
"200",2014-01-01,-0.00297391859877472
"201",2014-04-01,0.00971955148759207
"202",2014-07-01,0.0121081762940562
"203",2014-10-01,0.00571231866916477
"204",2015-01-01,0.00507153913794767
"205",2015-04-01,0.00644546883900787
"206",2015-07-01,0.00491637983060755
"207",2015-10-01,0.00217328044356435
"208",2016-01-01,0.00207780009753833
"209",2016-04-01,0.00350971874799377
"210",2016-07-01,0.00864007584412718
"211",2016-10-01,0.0051460595432431
